CN100000	一种服务器备用电源及服务器电源
CN101064	基于多尺度特征提取的多导联心跳信号分类方法及装置
CN101065	睡眠分期方法及装置
CN101066	航空润滑油组合物及其制备方法
CN101067	一种润滑调节油及其应用
CN101068	润滑油组合物以及使用其的润滑剂
CN101069	一种检测单导联10秒心电图噪音干扰程度的方法
CN101070	一种低噪声放大器以及一种超宽带接收机
CN101071	一种自学习ECG QRS波检测装置及其自学习方法
CN101072	一种基于Linux平台的列车广播客室功率放大器
CN101073	多通道变频组件系统
CN101074	少导联心电数据处理方法、装置、存储介质及计算机设备
CN101075	一种多频段低噪声放大器及放大方法
CN101076	一种服务器的电源板、供电系统及方法
CN101077	一种双控存储掉电保护系统
CN101078	冗余电源供应装置及其异常保护控制方法
CN101079	单导心贴数据长程监控诊断系统及其处理方法
CN101080	一种降低电源在冷备份模式下功率抖动的方法
CN101081	一种可生物降解环保润滑油
CN101082	心脏螺旋回顾重建数据挑选、回顾重建方法和装置
CN101083	一种异常开启SCC电路的保护电路及服务器
CN101084	一种冗余电源均流输出的自动控制系统
CN101085	一种高功率防护系统及其制备方法
CN101086	适用于北斗二代频段的低噪放射频前端电路
CN101087	制冷剂压缩式制冷循环装置用工作介质及制冷循环装置
CN101088	一种超宽带低噪声放大器及通信设备
CN101089	一种服务器双电冗余开机方法、系统、装置及存储介质
CN101090	一种基于智能终端的心血管检测方法
CN101091	一种多电源平面的供电装置和服务器
CN101092	一种基于以太网供电的服务器数据保护系统、方法
CN101093	心搏的插入方法、心搏自动插入装置及存储介质
CN101094	一种整机柜服务器超级电容供电控制系统及方法
CN101095	一种针织大圆机合成油及其制备方法
CN101096	一种黏度指数改进剂及其制备方法
CN101097	一种高可靠性低噪声放大器
CN101098	一种NVME盘的识别方法及相关组件
CN101099	心脏检测评估方法、系统、存储介质及装置
CN101100	频压预配置方法和相关装置
CN101101	高效冷冻机油组合物及其制备方法
CN101102	低摩擦柴油机油及其制备方法
CN101103	抑制ECG信号中伪吉布斯效应的方法及装置
CN101104	含氟改性聚硅氧烷及其制备方法和应用
CN101105	一种实时心电数据无损压缩方法
CN101106	一种基于BCG信号的睡眠呼吸暂停初筛系统
CN101107	一种钛合金型材挤压用玻璃润滑的制备方法及玻璃润滑剂
CN101108	小型化滤波低噪声放大器及接收机
CN101109	基于信号处理的音乐反馈调节系统
CN101110	一种密封润滑脂组合物及其制备方法
CN101111	基于多重级联深度神经网络的心电信号的识别与分类方法
CN101112	一种噪声前馈相消的宽带放大器
CN101113	一种基于改进的残差密集网络的心电信号降噪方法
CN101114	一种备电装置及其备电方法、介质
CN101115	高频模块以及通信装置
CN101116	血液容灾及应急管理系统及方法
CN101117	一种服务器的运行控制方法、设备以及存储介质
CN101118	一种极压抗磨剂及包含该极压抗磨剂的公路车辆齿轮油
CN101119	一种数字机顶盒分区升级的断电保护方法
CN101120	一种应用于热插拔服务器的保护装置
CN101121	一种基于心电数据的心脏病症分类方法及装置
CN101122	一种腔内电信号的处理方法、系统、终端及存储介质
CN101123	供电单元的掉电保持电路、其控制方法和控制装置
CN101124	一种高性能低噪声放大器
CN101125	一种简易高增益放大电路
CN101126	数控PG时间可调电源管理电路
CN101127	低成本抗氧化纳米混合油及其制备方法
CN101128	服务器电源装置组件供电控制方法、系统、设备及介质
CN101129	一种高燃点聚醚及其制备方法和应用
CN101130	一种工作于66～83GHz的CMOS毫米波宽带低噪声放大器
CN101131	一种调压方法、装置、设备及介质
CN101132	一种新型睡眠治疗仪心电处理系统
CN101133	一种智能心电信号处理方法
CN101134	一种功率放大器杂波抑制电路
CN101135	基于注意力机制的深度残差神经网络的心电图分类方法
CN101136	一种多频低噪声放大器
CN101137	基于碳量子点的巨电流变颗粒的制备方法及巨电流变材料
CN101138	一种冗余的单输入电源系统
CN101139	一种耐高温耐磨发动机润滑油组合物及其制备方法
CN101140	一种服务器冗余电源系统固件升级方法及系统
CN101141	音频驱动芯片及音频驱动方法
CN101142	远程除颤防护系统及其控制方法
CN101143	一种VR电源异常状态的修复方法、装置、设备及介质
CN101144	具有改进的抗剪切性和剪切后溶解性的粘度指数改进剂
CN101145	一种微带功率放大器
CN101146	一种复合高稳定性润滑剂及其制备工艺
CN101147	一种低功耗高增益低噪声差分放大电路
CN101148	汽油发动机润滑油组合物及其制备方法
CN101149	一种柴油发动机润滑油组合物及其制备方法
CN101150	一种HEMT低噪声放大器旁路结构
CN101151	抗磨液压油及其制备方法
CN101152	一种冷冻机油及其制备方法和应用
CN101153	一种心电散点图三维图像增强方法
CN101154	心磁图数据集的处理方法、系统、设备及计算机可读存储介质
CN101155	冷冻机油组合物及其应用
CN101156	一种光纤陀螺光电探测前置放大器设计方法及电路结构
CN101157	一种计算机异常断电自动关机系统及方法
CN101158	一种动态心电图分析方法及系统
CN101159	一种抗低温合成发动机油及其制备方法
CN101160	基于心电与脑电信息结合的糖尿病前期检测系统和方法
CN101161	接收器及相关的信号处理方法
CN101162	用于润滑剂添加剂应用的聚(甲基)丙烯酸酯星形聚合物
CN101163	一种润滑脂组合物及其制备方法和应用
CN101164	包含低粘度聚α-烯烃基料的官能流体
CN101165	一种具备难燃性能的闭门器油组合物
CN101166	低频低噪声压电矢量传感器
CN101167	一种带有减震功能的UPS电源箱
CN101168	一种超宽带有源放大移相器
CN101169	一种基于弱监督学习的心电信号检测和定位方法
CN101170	高线性度低噪声放大器
CN101171	一种RAID卡供电电路
CN101172	远距离声音放大方法、装置、系统、存储介质及智能设备
CN101173	一种基于可穿戴设备的情绪检测提醒方法
CN101174	低功耗系统、低功耗控制方法和家电设备
CN101175	一种具有功率分配功能的低噪声放大器
CN101176	一种齿轮油组合物及其制备方法
CN101177	一种超低温航空液压油及其应用
CN101178	一种电源开关保护电路及保护方法
CN101179	用于感应同步器输出端的前置放大电路及感应同步器
CN101180	射频放大电路、射频前端接收电路及无线通信设备
CN101181	一种硬盘错峰上电控制系统
CN101182	一种用于多标签标注心电信号的心搏分类方法和装置
CN101183	一种高可靠性多相供电系统及方法
CN101184	润滑油、制备方法及应用
CN101185	具有受控相角转换的静态转换开关
CN101186	一种拓展柴油机电控系统工作电源范围的电源供电模块
CN101187	基于卷积神经网络的心电信号识别装置
CN101188	具有限定分子量分布的新粘度指数改进剂
CN101189	基于多模态融合神经网络的心肌梗死自动检测系统
CN101190	基于多特征稀疏表示的心电信号身份识别方法及系统
CN101191	电流复用可变增益低噪声放大器
CN101192	基于心电信号量化分析的自主神经系统健康状态评估装置
CN101193	心电图模板匹配方法、装置、计算机设备及存储介质
CN101194	一种高集成度的高线性低噪声放大器
CN101195	具有电阻匹配的低噪声宽带放大器
CN101196	一种基于变压器负反馈的射频放大器电路
CN101197	一种具有隔离功能的RS232接口保护电路
CN101198	心电图心拍智能分类识别方法
CN101199	一种基于人工智能的十二导联标准心电图急性心肌梗死智能判别系统
CN101200	一种减震器油组合物及其应用
CN101201	具有用于抑制斩波纹波的高通滤波器的斩波放大器
CN101202	信号处理方法及装置
CN101203	一种电流复用型gm-boost低噪声放大器的集成电路
CN101204	锂带轧制润滑剂及其应用方法
CN101205	一种用于盾构机齿轮传动系统的润滑油组合物
CN101206	心电信号质量检测方法、装置、计算机设备和存储介质
CN101207	一种节能型、低灰分、长换油期的柴油发动机油及其制备方法与应用
CN101208	一种中低温金属热加工用润滑剂及制备方法
CN101209	一种动物血压智能监测系统及其监测方法
CN101210	一种二级放大电路与电子设备
CN101211	一种基于HEMT的S波段的低噪声放大器
CN101212	一种高灵敏度电流放大电路及其芯片
CN101213	心电信号滤波方法及装置
CN101214	信号放大电路
CN101215	噪声消除器和数字发送机
CN101216	一种数字微波信号调节电路
CN101217	5G通讯电缆基站抗干扰传输系统
CN101218	一种宽频射频低噪声放大器的集成电路
CN101219	一种高性能环境友好型水性冲头油及其制备方法
CN101220	基于距离分段加权算法的可穿戴体表电势采集装置
CN101221	心电图起搏检测方法、心电图分析装置及可读存储介质
CN101222	一种无创血压测量方法、装置、设备及系统
CN101223	一种无卤素季磷盐烷基苯磺酸离子液体的制备及其作为钛合金润滑剂的应用
CN101224	一种T波起点的确定方法、装置、存储介质及电子设备
CN101225	一种故障恢复方法、装置、电子设备和存储介质
CN101226	一种心电信号去噪分类系统及方法
CN101227	具有局部反馈环路的放大器
CN101228	一种采用渗透层技术的可降解润滑油及其制备方法
CN101229	一种防覆冰润滑脂及其制备方法和应用
CN101230	一种宽带程控增益运放电路
CN101231	低噪声放大器、射频接收机及射频终端
CN101232	基于EC或CPLD的控制方法、装置、存储介质和电子设备
CN101233	一种无片外电容LDO电路和电源管理系统
CN101234	一种服务器电源的输出保持时间延长方法和系统
CN101235	一种获取呼吸信息的方法及装置
CN101236	一种多导联心电信号分类方法和系统
CN101237	集成直流失调消除和切片阈值调整功能的二合一消除电路
CN101238	一种电感式转速传感器信号测量装置及测量方法
CN101239	利用AdaBoost和弱分类器的心电信号分类方法
CN101240	一种斩波前置放大器及其设计方法
CN101241	导电仿生水凝胶及便携式心电监测智能装置
CN101242	一种船用中速筒状活塞柴油机油组合物及其制备方法
CN101243	用于减少输出谐波的系统和方法
CN101244	三自由度编码单光子比特的无噪声线性放大方法
CN101245	粘度系列化水乙二醇抗燃型液压液及其制备方法
CN101246	一种区块链信息安全管理平台
CN101247	适用于噪声整形结构ADC的高速低功耗差分动态运算放大器
CN101248	一种复合防腐剂及其制备方法与应用
CN101249	柴油机油组合物
CN101250	一种高密度、低凝点的煤气柜专用密封油组合物
CN101251	一种偶氮苯-聚乙二醇二丙烯酸酯聚合物及其制备方法和应用
CN101252	发动机油组合物及其制备方法以及提高发动机的节能性和/或轴承抗磨损性能的方法
CN101253	心电信号的监测方法、系统、装置及介质
CN101254	一种粗糙合理粒度驱动的胎儿心电图异常检测方法
CN101255	一种长寿命轴承防锈油及其制备方法
CN101256	基于伪Wigner-Ville分布的心电图诊断方法
CN101257	一种信息处理方法、装置、设备及存储介质
CN101258	一种饱和的聚烯烃润滑油基础油及其制备方法
CN101259	润滑脂组合物、离合器和电动窗电机
CN101260	一种放大器电路
CN101261	作为润滑剂添加剂的腐蚀性较低的有机化合物
CN101262	癫痫检测方法及系统
CN101263	一种射频增益模块放大器芯片
CN101264	一种CAN控制单元和离子加速器电源控制器
CN101265	心搏分类的修正方法、装置、心电图检查系统及存储介质
CN101266	一种基于GaAs Bi-HEMT工艺的可重构宽带放大器
CN101267	一种增强异常掉电可靠性的时序控制电路及控制方法
CN101268	一种基于无监督学习的心电向量重建方法
CN101269	宽带数控低噪声可变增益放大器
CN101270	一种基于深度神经网络的心电信号噪声识别方法
CN101271	基于小波域稀疏特性的心电信号去噪方法
CN101272	一种磁流变液组合物及其制备方法
CN101273	掉电处理方法、功能节点、处理系统、设备和存储介质
CN101274	一种基于分段多项式拟合ECG信号的平滑滤波方法
CN101275	黏度指数改进剂及其制备方法、用途
CN101276	一种固定翼无人机的飞控管理计算机掉电处理方法及系统
CN101277	基于云平台的UPS监控方法、设备、存储介质及装置
CN101278	心电图异常监测方法、装置、设备和存储介质
CN101279	射频功率放大器及通信设备
CN101280	一种反馈网络及低噪声放大器
CN101281	一种植物油基耐高温润滑油及其制备方法
CN101282	一种水下数据采集器故障诊断及应急处理方法及系统
CN101283	基于导联融合深度神经网络的心肌梗死自动检测方法
CN101284	基于卷积神经网络的心拍类型识别方法和装置
CN101285	一种低温自动加热的手持三防平板电脑
CN101286	一种心电表征自监督学习方法
CN101287	一种实时电压控制模块
CN101288	处理器内核中的主动电压降的减少和/或减轻
CN101289	一种时钟芯片电源切换方法、装置、终端以及介质
CN101290	一种应用于电流模无源混频器的跨阻放大器
CN101291	柴油机油组合物及其制备方法
CN101292	一种高斯脉冲功率放大器及发射机
CN101293	一种高转速纺纱锭子润滑脂组合物及其制备方法和应用
CN101294	差分正交输出低噪声放大器
CN101295	一种面向高阻源测量的低噪声电压放大调理电路
CN101296	心电图的处理方法及装置、心电图的远程处理方法及系统
CN101297	心电图信号校正方法、装置、可穿戴设备及存储介质
CN101298	一种润滑油基础油的合成方法
CN101299	经由芯片上传感器的电压管理
CN101300	一种电动汽车传动液及制备方法
CN101301	一种对心电信号ST段进行预警的方法
CN101302	一种重启冲击声消除电路和音频电路
CN101303	一种宽带高线性度功率放大器
CN101304	新型粘度指数改进剂
CN101305	一种无创胎儿心电信号质量评估方法
CN101306	微波放大器及其实现方法
